"The Adventures Of Elmo In Grouchland","1999","73 mins","Children; Comedy; Family","No","","0","Vudu","G"
"The Adventures of Ichabod and Mr. Toad","1949","68 mins","Animation; Comedy; Family; Fantasy; Horror","No","","0","Vudu","G"
"The Adventures of Milo and Otis","1986","90 mins","Adventure; Drama; Family","No","","0","Vudu","G"
"The Adventures of Ragtime","1998","200 mins","Comedy; Family","No","","0","DVD","G"
"The Adventures of Robin Hood","1938","102 mins","Action; Adventure; Romance","No","","0","Vudu","PG"
"The Adventures Of Tintin","2011","106 mins","Adventure; Animation","No","","0","Vudu","PG"
"Æon Flux","2005","93 mins","Action; Adventure; Science Fiction; Thriller","No","","0","Vudu","PG-13"
"Affair in Trinidad","1952","98 mins","Crime; Drama; Film Noir; Mystery; Thriller","No","","0","Vudu","US - Approved"
"Against All Odds","1984","128 mins","Action; Adventure; Crime; Drama; Romance; Thriller","No","","0","Vudu","R"
"The Age of Innocence","1993","139 mins","Drama; Romance","No","","0","Vudu","PG"
"Air Force One","1997","124 mins","Action; Drama; Thriller","No","","0","Vudu","R"
"Airplane!","1980","88 mins","Comedy","No","","0","Vudu","PG"
"Airplane II: The Sequel","1982","85 mins","Comedy; Science Fiction","No","","0","Vudu","PG"
"Aladdin","1992","90 mins","Animation; Comedy; Family","No","","0","Vudu","G"
"Aladdin (Live Action)","2019","128 mins","Adventure; Family; Fantasy; Musical; Romance","No","","0","Vudu","PG"
"Aladdin And The King Of Thieves","1996","81 mins","Adventure; Animation; Comedy; Family; Fantasy; Musical; Romance","No","","0","Vudu","US - Not Rated"
"Albert","2016","42 mins","Animation; Family","No","","0","DVD","G"
"Albert Nobbs","2011","113 mins","Drama; Romance","No","","0","Vudu","R"
"Alex Cross","2012","101 mins","Action; Crime; Mystery; Thriller","No","","0","Vudu","PG-13"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","2014","81 mins","Comedy; Family","No","","0","Vudu","PG"
"Alf: Season 1","1986","616 mins","Comedy; Family; Science Fiction","Yes","ALF","27","Vudu","TV-G"
"Alf: Season 2","1987","550 mins","Comedy; Family; Science Fiction","Yes","ALF","26","Vudu","TV-G"
"Alf: Season 3","1986","550 mins","Animation; Comedy; Family","Yes","ALF","26","Vudu","TV-G"
"Alf: Season 4","1989","500 mins","Animation; Comedy","Yes","ALF","24","Vudu","TV-G"
"Alfie","1966","114 mins","Comedy; Drama","No","","0","Vudu","US - Approved"
