title,year,id,type,season
Z Nation: Season 3,2016,798789,show,3
12 Monkeys: Season 4,2018,957361,show,4
According To Jim: Season 4,2004,376724,show,4
Adventures of Superman: Season 4,,221275,show,4
ALF: Season 4,1989,4023087,show,4
Alice: Season 4,1979,4105152,show,4
Bewitched: Season 4,1967,4009168,show,4
Breaking Bad: Season 4,2011,205517,show,4
Cheers: Season 4,1985,255905,show,4
CHiPs: Season 4,1980,3550904,show,4
Criminal Minds: Season 4,2008,242199,show,4
CSI: Crime Scene Investigation: Season 4,2003,238356,show,4
CSI: NY: Season 4,2007,243827,show,4
Dinosaurs: Season 4,1994,418849,show,4
Doctor Who: Season 4,,202847,show,4
Drunk History: Season 4,2016,795234,show,4
Duck Dynasty: Season 4,2013,470053,show,4
Family Matters: Season 4,1992,1153006,show,4
Family Ties: Season 4,1985,369146,show,4
Finding Your Roots: Season 4,,900450,show,4
Frasier: Season 4,1996,519738,show,4
Friends: Season 4,1997,135663,show,4
Full House: Season 4,1990,1150597,show,4
Get Smart: Season 4,1968,1092891,show,4
Growing Pains: Season 4,1988,236204,show,4
Home Improvement: Season 4,1994,550498,show,4
I Dream of Jeannie: Season 4,1968,447120,show,4
I Love Lucy: Season 4,1954,4215317,show,4
Knight Rider: Classic: Season 4,,298351,show,4
Last Man Standing: Season 4,2014,588100,show,4
Leave It to Beaver: Season 4,1960,4744143,show,4
Little House on the Prairie: Season 4,1977,580677,show,4
Long Lost Family: Season 4,,943538,show,4
Looney Tunes Cartoons: Season 4,2022,1997722,show,4
Mama's Family: Season 4,1987,1154456,show,4
Mission Impossible: Season 4,1969,522653,show,4
Modern Family: Season 4,2012,384178,show,4
"Murder, She Wrote: Season 4",1987,3644387,show,4
My Wife and Kids: Season 4,2003,552075,show,4
Parks and Recreation: Season 4,2011,229736,show,4
Saved By The Bell: Season 4,1991,499567,show,4
Scorpion: Season 4,2017,888888,show,4
Scrubs: Season 4,2004,327242,show,4
Silicon Valley: Season 4,2017,880467,show,4
Step by Step: Season 4,1994,3214703,show,4
The A-Team: Season 4,1985,298599,show,4
The Andy Griffith Show: Season 4,1963,520460,show,4
The Big Bang Theory: Season 4,,200147,show,4
The Chosen: Season 4,,3356822,show,4
The Dick Van Dyke Show: Season 4,1964,4609521,show,4
The Dukes of Hazzard: Season 4,1981,138715,show,4
The Fairly OddParents: Volume 4,2003,458175,show,4
The Flintstones: Season 4,1963,134459,show,4
The Fresh Prince of Bel-Air: Season 4,1993,232977,show,4
The Incredible Hulk [1977]: Season 4,1980,298803,show,4
The Office: Season 4,2007,198665,show,4
"The Three Stooges Collection: Volume 4, 1943-1945",1943,358645,show,4
The Twilight Zone: Season 4,1963,261285,show,4
The Waltons: Season 4,1975,1152847,show,4
Tom Clancy's Jack Ryan: Season 4,2023,3369909,show,4
Who Do You Think You Are?: Season 4,,461549,show,4
Young & Hungry: Season 4,2016,4278958,show,4
Young Sheldon: Season 4,2020,1563998,show,4
Z Nation: Season 4,2017,896370,show,4
According To Jim: Season 5,2005,320886,show,5
Adventures of Superman: Season 5,,221303,show,5
Alice: Season 5,1980,4105232,show,5
Bewitched: Season 5,1968,4009236,show,5
Breaking Bad: Season 5,2012,353871,show,5
Cheers: Season 5,1986,255932,show,5
CHiPs: Season 5,1981,3550973,show,5
Criminal Minds: Season 5,2009,242107,show,5
CSI: Crime Scene Investigation: Season 5,2004,238380,show,5
CSI: NY: Season 5,2008,243715,show,5
Doctor Who: Season 5,,203030,show,5
Drunk History: Season 5,2018,918790,show,5
Duck Dynasty: Season 5,2014,509473,show,5
Family Matters: Season 5,1993,1158219,show,5
Family Ties: Season 5,1986,369038,show,5
Finding Your Roots: Season 5,,1045543,show,5
Frasier: Season 5,1997,519878,show,5
Friends: Season 5,1998,135687,show,5
Full House: Season 5,1991,1150678,show,5
Get Smart: Season 5,1969,1092945,show,5
Growing Pains: Season 5,1989,236205,show,5
Home Improvement: Season 5,1995,550606,show,5
I Dream of Jeannie: Season 5,1969,447174,show,5
I Love Lucy: Season 5,1955,4215410,show,5
Last Man Standing: Season 5,2015,694925,show,5
Leave It to Beaver: Season 5,1961,4744275,show,5
Little House on the Prairie: Season 5,1978,580773,show,5
Long Lost Family: Season 5,,1000646,show,5
Looney Tunes Cartoons: Season 5,2022,2384691,show,5
Mama's Family: Season 5,1988,1154534,show,5
Mission Impossible: Season 5,1970,522801,show,5
Modern Family: Season 5,2013,473042,show,5
"Murder, She Wrote: Season 5",1988,3644462,show,5
My Wife and Kids: Season 5,2004,552199,show,5
Parks and Recreation: Season 5,2012,365560,show,5
Saved By The Bell: Season 5,1992,499783,show,5
Scrubs: Season 5,2006,327182,show,5
Silicon Valley: Season 5,2018,951507,show,5
Step by Step: Season 5,1995,3214778,show,5
The A-Team: Season 5,1986,298647,show,5
The Andy Griffith Show: Season 5,1964,520660,show,5
The Big Bang Theory: Season 5,,244489,show,5
The Chosen: Season 5,,4607710,show,5
The Dick Van Dyke Show: Season 5,1965,4609656,show,5
The Dukes of Hazzard: Season 5,1982,138716,show,5
The Fairly OddParents: Volume 5,2004,458869,show,5
The Flintstones: Season 5,1964,134460,show,5
The Fresh Prince of Bel-Air: Season 5,1994,232978,show,5
The Office: Season 5,2008,198725,show,5
"The Three Stooges Collection: Volume 5, 1946-1948",1946,437597,show,5
The Twilight Zone: Season 5,1963,261286,show,5
The Waltons: Season 5,1976,1152525,show,5
Young & Hungry: Season 5,2017,4278994,show,5
Young Sheldon: Season 5,2021,1928352,show,5
Z Nation: Season 5,2018,998117,show,5
According To Jim: Season 6,2007,320978,show,6
Adventures of Superman: Season 6,,221336,show,6
Alice: Season 6,1981,4105298,show,6
Bewitched: Season 6,1969,4009298,show,6
Breaking Bad: The Final Season,2013,460609,show,6
Cheers: Season 6,1987,255959,show,6
CHiPs: Season 6,1982,3551057,show,6
Criminal Minds: Season 6,2010,242007,show,6
CSI: Crime Scene Investigation: Season 6,2005,238381,show,6
CSI: NY: Season 6,2009,243616,show,6
"Doctor Who: Season 6, Part 1",,203170,show,6
"Doctor Who: Season 6, Part 2",,216275,show,6
Drunk History: Season 6,2019,1047068,show,6
Duck Dynasty: Season 6,2014,546849,show,6
Family Matters: Season 6,1994,1153246,show,6
Family Ties: Season 6,1987,368676,show,6
Finding Your Roots: Season 6,,1258017,show,6
Frasier: Season 6,1998,520036,show,6
Friends: Season 6,1999,135712,show,6
Full House: Season 6,1992,1150759,show,6
Growing Pains: Season 6,1990,236206,show,6
Home Improvement: Season 6,1996,550758,show,6
I Love Lucy: Season 6,1956,4215491,show,6
Last Man Standing: Season 6,2016,808683,show,6
Leave It to Beaver: Season 6,1962,4744399,show,6
Little House on the Prairie: Season 6,1979,580873,show,6
Long Lost Family: Season 6,,1276323,show,6
Looney Tunes Cartoons: Season 6,2023,4057277,show,6
Mama's Family: Season 6,1989,1154612,show,6
Mission Impossible: Season 6,1971,522921,show,6
Modern Family: Season 6,2014,571546,show,6
"Murder, She Wrote: Season 6",1989,3644546,show,6
Parks and Recreation: Season 6,2013,477840,show,6
Scrubs: Season 6,2006,327098,show,6
Silicon Valley: Season 6,2019,1317788,show,6
Step by Step: Season 6,1997,3214853,show,6
The Andy Griffith Show: Season 6,1965,520826,show,6
The Big Bang Theory: Season 6,,379551,show,6
