"Title","Movie Release Year","Running Time","IMDb Rating","Genre","Format","Is TV Series","Release Year","Seen It","Front Cover"
"Cyrano","2021","124 mins","6.4","Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Cyrano202166738_f.jpg"
"The Da Vinci Code","2006","149 mins","6.6","Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheDaVinciCode20068971_f.jpg"
"Daddy Day Camp","2007","89 mins","3.2","Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DaddyDayCamp200737805_f.jpg"
"Daddy's Home","2015","96 mins","6.2","Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DaddysHome20155684_f.jpg"
"Daddy's Home 2","2017","100 mins","6.0","Comedy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DaddysHome220175704_f.jpg"
"Daffy Duck's Movie: Fantastic Island","1983","78 mins","6.9","Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DaffyDucksMovieFantastic69429LK5C_f.jpg"
"Daffy Duck's Quackbusters","1988","76 mins","7.0","Action; Adventure; Animation; Comedy; Family; Fantasy; Horror; Mystery","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DaffyDucksQuackbusters19869416FVAG_f.jpg"
"Damaged","2024","97 mins","4.7","Action; Crime; Drama; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Damaged202490930E5TW_f.jpg"
"Dan Da Dan: Season 1","","","0","Animation","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DanDaDanSeason166982_f.jpg"
"Dangerous Minds","1995","99 mins","6.5","Biography; Crime; Drama; Mystery; Thriller","Vudu","No","2002","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DangerousMinds199524687_f.jpg"
"Darby O'Gill And The Little People","1959","93 mins","7.1","Adventure; Family; Fantasy","Vudu","No","2004","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DarbyOGillAndTheLittlePe9409_f.jpg"
"Daredevil","2003","103 mins","5.3","Action; Crime","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Daredevil200337481_f.jpg"
"The Dark Crystal","1982","93 mins","7.1","Adventure; Family; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheDarkCrystal1982970_f.jpg"
"The Dark Knight","2008","152 mins","9.1","Action; Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheDarkKnight200872433_f.jpg"
"The Dark Knight Rises","2012","164 mins","8.4","Action; Adventure","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheDarkKnightRises201224575_f.jpg"
"Darkman","1990","96 mins","6.4","Action; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Darkman199060882_f.jpg"
"Dave","1993","110 mins","6.9","Comedy; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Dave199324718_f.jpg"
"The Day the Earth Blew Up: A Looney Tunes Movie","2024","91 mins","6.8","Adventure; Animation; Comedy; Family; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheDaytheEarthBlewUpAL8776718Q7_f.jpg"
"Daylight","1996","114 mins","6.0","Action; Adventure; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Daylight199657265_f.jpg"
"Days Of Jesse James","1939","56 mins","5.6","Action; Western","VHS","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DaysOfJesseJames19396108_f.jpg"
"Days Of Thunder","1990","102 mins","6.1","Action; Adventure; Drama; Romance","Vudu","No","1996","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DaysOfThunder199072436_f.jpg"
"DC League of Super-Pets","2022","106 mins","6.8","Action; Adventure; Animation; Comedy; Crime; Family; Fantasy; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DCLeagueofSuperPets202235090_f.jpg"
"Dc Talk: Free At Last: The Movie","2002","90 mins","8.4","Music","DVD","No","2002","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DcTalkFreeAtLastTheMov305_f.jpg"
"Dead End","1937","93 mins","7.2","Crime; Drama; Film Noir; Romance","","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeadEnd193793980_f.jpg"
"Dead Man Walking","1995","122 mins","7.5","Crime; Drama","Vudu","No","2000","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeadManWalking199557240_f.jpg"
"Deadfall","2012","95 mins","6.2","Action; Adventure; Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Deadfall201256792_f.jpg"
"Deadpool & Wolverine","2024","128 mins","7.5","Action; Adventure; Comedy; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeadpoolWolverine202456899_f.jpg"
"Death of a Unicorn","2025","107 mins","5.9","Comedy; Fantasy; Horror; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeathofaUnicorn202566511_f.jpg"
"The Death of Superman","2018","81 mins","7.3","Action; Animation; Fantasy; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheDeathofSuperman201864168_f.jpg"
"Death On The Nile","2022","127 mins","6.3","Crime; Drama; Mystery","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeathOnTheNile202253489_f.jpg"
"Death Race","2008","105 mins","6.4","Action; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeathRace20088953_f.jpg"
"Death Rides a Horse","1967","120 mins","7.0","Drama; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeathRidesaHorse196713015_f.jpg"
"Death Wish","1974","93 mins","6.9","Action; Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\DeathWish197463483_f.jpg"
